Zgodnie z Konstytucją RP źródłami powszechnie obowiązującego prawa Rzeczypospolitej Polskiej są na obszarze działania organów, które je ustanowiły:;
akty prawa miejscowego,;1
wyłącznie ustawy i rozporządzenia,;0
uchwały rad gmin.;0
;
Zgodnie z Konstytucją RP podmiot podatku, jego przedmiot i stawka podatkowa, a także zasady przyznawania ulg i umorzeń oraz kategorie podmiotów zwolnionych od podatków powinny być uregulowane:;
w ustawie i rozporządzeniach,;0
w ustawie,;1
w rozporządzeniach.;0
;
Jednostki samorządu terytorialnego mają prawo ustalania wysokości podatków i opłat lokalnych:;
w zakresie określonym w ustawie;1
na podstawie upoważnienia ministra właściwego do spraw finansów publicznych;0
bez ograniczeń;0
;
Rozporządzenia Ministra Finansów są publikowane w:;
Monitorze Skarbowym;0
Monitorze Polskim;0
Dzienniku Ustaw;1
;
Wyrok Naczelnego Sądu Administracyjnego:;
jest źródłem prawa,;0
nie jest źródłem prawa,;1
niekiedy jest źródłem prawa.;0
;
Reguły kolizyjne służą do usuwania:;
luk w prawie,;0
niejasności w prawie,;0
sprzeczności przepisów prawa.;1
;
Która z podanych formuł umieszczona w akcie normatywnym byłaby klauzulą derogacyjną:;
traci moc rozporządzenie Ministra Finansów z dnia 23 kwietnia 2015 r.,;1
rozporządzenie wchodzi w życie z dniem 1 maja 2015 r.,;0
minister właściwy do spraw finansów publicznych określi, w drodze rozporządzenia, warunki i tryb zwrotu akcyzy w eksporcie.;0
;
W myśl Konstytucji RP:;
każdy jest obowiązany do ponoszenia ciężarów i świadczeń publicznych, w tym podatków, określonych w ustawie,;1
nakładanie podatków i innych danin publicznych może nastąpić w drodze ustawy lub rozporządzenia.;0
Rada Ministrów może uznać uchwalony przez siebie projekt ustawy podatkowej za pilny.;0
;
Z pytaniem prejudycjalnym do Trybunału Sprawiedliwości Unii Europejskiej wystąpić może:;
wyłącznie Naczelny Sąd Administracyjny,;0
Naczelny Sąd Administracyjny lub wojewódzki sąd administracyjny,;1
Naczelny Sąd Administracyjny, Wojewódzki Sąd Administracyjny lub strona postępowania.;0
